,0
Scholarship,0.10189778218708996
Hypertension,0.1875700067206452
Diabetes,0.06701443338560502
Alcoholism,0.03888373283835248
Neighbourhood,41.54747655774954
SMSReceived,0.35901046500464046
Age,36.27554645245944
num_days,11.109578519537875
day_of_week,1.9289851825775275
month,4.621563670112331
week,18.03776362530803
Percent_Missed,0.13875912596633064
Gender_M,0.3579543636189074
Handicap_1,0.01811373891893622
Handicap_2,0.0015681505424520754
Handicap_3,6.400614458988063e-05
Handicap_4,3.2003072294940317e-05
